date,age,manner_of_death,gender,race,state,signs_of_mental_illness,threat_level,flee,body_camera
2015-03-21,42.0,shot,M,W,OH,False,attack,Not fleeing,False
2015-03-22,37.0,shot,M,W,CA,True,other,Not fleeing,False
2015-03-22,36.0,shot and Tasered,M,W,OR,True,other,Foot,False
2015-03-22,21.0,shot and Tasered,M,B,NY,False,attack,Car,False
2015-03-23,24.0,shot,M,B,CA,False,attack,Not fleeing,False
2015-03-24,29.0,shot,M,B,VA,True,attack,Car,False
2015-03-24,57.0,shot,M,W,CA,True,attack,Not fleeing,False
2015-03-24,38.0,shot,M,W,WI,False,attack,Not fleeing,False
2015-03-25,23.0,shot,M,B,GA,False,other,Car,True
2015-03-25,27.0,shot,M,B,SC,False,attack,Foot,False
2015-03-25,28.0,shot,M,H,CA,False,attack,Foot,False
2015-03-25,63.0,shot and Tasered,M,W,AZ,True,other,Not fleeing,False
2015-03-26,53.0,shot,F,W,KS,False,attack,Not fleeing,False
2015-03-26,35.0,shot,M,H,CA,True,other,Not fleeing,False
2015-03-27,26.0,shot,F,B,CA,False,other,Not fleeing,False
2015-03-27,42.0,shot,M,W,WV,False,attack,Car,False
2015-03-27,41.0,shot,M,B,MA,False,attack,Not fleeing,False
2015-03-27,56.0,shot,M,W,CA,True,attack,Not fleeing,False
2015-03-27,39.0,shot,M,B,FL,False,other,Not fleeing,False
2015-03-27,23.0,shot,M,H,CA,False,attack,Car,False
2015-03-27,40.0,shot,M,W,MA,False,attack,Foot,False
2015-03-29,29.0,shot,M,B,KY,False,attack,Not fleeing,False
2015-03-29,26.0,shot,M,W,OH,False,attack,Car,False
2015-03-30,54.0,shot,M,W,NV,False,attack,Not fleeing,False
2015-03-30,49.0,shot,M,W,OR,True,attack,Not fleeing,False
2015-03-31,36.0,shot,M,W,FL,False,attack,Not fleeing,False
2015-03-31,21.0,shot,M,H,TX,False,attack,Not fleeing,False
2015-03-31,27.0,shot,F,B,MD,False,other,Car,False
2015-04-01,37.0,shot,M,B,CA,False,attack,Not fleeing,False
2015-04-01,36.0,shot,M,W,NJ,False,attack,Not fleeing,False
2015-04-02,32.0,shot,M,B,IL,False,attack,Foot,False
2015-04-02,44.0,shot,M,B,OK,False,other,Not fleeing,False
2015-04-02,27.0,shot,M,W,LA,True,attack,Not fleeing,False
2015-04-02,63.0,shot and Tasered,M,W,IL,True,attack,Not fleeing,False
2015-04-03,38.0,shot,M,W,VA,False,other,Not fleeing,True
2015-04-04,17.0,shot,M,B,IL,False,attack,Foot,False
2015-04-04,31.0,shot,M,B,CA,False,attack,Not fleeing,True
2015-04-04,34.0,shot,M,W,NM,True,attack,Car,False
2015-04-04,50.0,shot and Tasered,M,B,SC,False,other,Foot,False
2015-04-05,51.0,shot,M,W,AZ,True,other,Not fleeing,False
2015-04-05,56.0,shot,M,W,CA,False,attack,Not fleeing,False
2015-04-06,23.0,shot,M,W,IN,True,attack,Not fleeing,False
2015-04-06,25.0,shot,M,B,LA,False,attack,Foot,False
2015-04-06,31.0,shot,M,W,ID,False,attack,Car,False
2015-04-07,32.0,shot,M,W,OK,False,attack,Car,False
2015-04-08,60.0,shot,M,W,TX,False,attack,Car,False
2015-04-08,42.0,shot,M,B,GA,False,attack,Car,False
2015-04-08,39.0,shot,M,H,CA,False,attack,Foot,False
2015-04-08,28.0,shot,M,A,CA,True,other,Not fleeing,False
2015-04-09,22.0,shot,M,W,FL,False,attack,Not fleeing,False
2015-04-09,29.0,shot,M,B,IN,False,attack,Car,False
2015-04-09,31.0,shot,M,W,PA,True,attack,Not fleeing,False
2015-04-09,28.0,shot,M,W,SC,False,attack,Not fleeing,False
2015-04-09,54.0,shot and Tasered,M,W,OK,False,attack,Other,False
2015-04-10,21.0,shot,M,H,CA,False,attack,Not fleeing,False
2015-04-10,38.0,shot,M,W,KS,False,attack,Car,False
2015-04-11,66.0,shot,M,W,OK,True,attack,Not fleeing,True
2015-04-12,36.0,shot,M,B,IN,False,attack,Foot,True
2015-04-12,83.0,shot,M,W,OK,True,other,Not fleeing,False
2015-04-12,32.0,shot,M,W,NC,True,attack,Car,False
2015-04-13,27.0,shot,M,H,IL,False,attack,Not fleeing,False
2015-04-14,26.0,shot,M,B,TX,False,other,Foot,False
2015-04-14,31.0,shot,M,W,AR,True,attack,Not fleeing,False
2015-04-15,22.0,shot,M,B,FL,False,other,Foot,False
2015-04-15,41.0,shot,M,B,SC,False,attack,Not fleeing,False
2015-04-15,41.0,shot,M,B,TX,False,other,Car,False
2015-04-15,51.0,shot,M,W,MO,False,attack,Car,True
2015-04-15,72.0,shot,M,W,CO,True,attack,Not fleeing,False
2015-04-15,52.0,shot,M,H,CA,True,attack,Not fleeing,False
2015-04-16,47.0,shot,M,H,CA,False,other,Not fleeing,False
2015-04-17,18.0,shot,M,B,IL,False,attack,Foot,False
2015-04-17,29.0,shot,M,H,CA,False,attack,Not fleeing,False
2015-04-17,23.0,shot,M,B,MO,True,other,Not fleeing,True
2015-04-18,43.0,shot,M,H,AZ,True,attack,Not fleeing,False
2015-04-18,45.0,shot,M,W,FL,False,attack,Not fleeing,False
2015-04-19,40.0,shot,M,W,KY,True,attack,Not fleeing,False
2015-04-19,44.0,shot,M,W,NE,False,attack,Not fleeing,False
2015-04-20,25.0,shot,M,H,TX,False,other,Not fleeing,False
2015-04-21,37.0,shot,M,N,WA,True,other,Foot,False
2015-04-21,59.0,shot,M,W,SC,True,other,Not fleeing,False
2015-04-21,35.0,shot,M,H,CA,True,other,Not fleeing,False
2015-04-21,35.0,shot,M,B,NJ,False,attack,Not fleeing,False
2015-04-22,18.0,shot,M,B,VA,False,other,Not fleeing,False
2015-04-22,51.0,shot,M,H,AZ,False,other,Not fleeing,False
2015-04-22,30.0,shot,M,W,NY,True,attack,Foot,False
2015-04-22,31.0,shot,M,B,TX,False,attack,Foot,False
2015-04-22,39.0,shot,M,A,CO,False,attack,Not fleeing,False
2015-04-23,26.0,shot,M,W,CA,True,attack,Not fleeing,False
2015-04-23,51.0,shot,M,W,OK,False,attack,Not fleeing,False
2015-04-23,19.0,shot,M,H,CA,False,other,Not fleeing,False
2015-04-24,46.0,shot,F,W,CA,False,attack,Car,False
2015-04-24,49.0,shot,M,W,OR,False,attack,Not fleeing,False
2015-04-24,63.0,shot,M,W,OK,False,attack,Car,False
2015-04-24,20.0,shot,M,B,CO,False,attack,Foot,True
2015-04-25,25.0,shot,M,W,TX,True,other,Not fleeing,True
2015-04-25,24.0,shot,M,B,NY,True,attack,Foot,False
2015-04-25,58.0,shot,M,W,FL,True,other,Not fleeing,False
2015-04-26,29.0,shot,M,W,OK,False,attack,Not fleeing,False
2015-04-26,76.0,shot,M,W,CA,False,attack,Not fleeing,False
2015-04-26,45.0,shot,M,W,CA,False,attack,Not fleeing,False
2015-04-27,20.0,shot,M,B,MI,False,other,Not fleeing,False
2015-04-28,58.0,shot,M,W,OH,False,attack,Not fleeing,False
2015-04-28,21.0,shot,M,B,LA,False,attack,Not fleeing,True
2015-04-28,27.0,shot,M,W,IL,True,attack,Not fleeing,False
2015-04-29,26.0,shot,M,W,OK,False,other,Foot,False
2015-04-29,33.0,shot,M,H,AZ,True,attack,Not fleeing,False
2015-04-29,27.0,shot,M,H,CA,False,attack,Not fleeing,False
2015-04-29,25.0,shot,F,B,GA,False,attack,Not fleeing,False
2015-04-29,53.0,shot,M,B,VA,True,attack,Not fleeing,False
2015-04-29,53.0,shot,M,W,TN,True,attack,Not fleeing,False
2015-04-30,42.0,shot,M,O,CA,True,other,Not fleeing,True
2015-04-30,22.0,shot and Tasered,M,H,TX,False,other,Not fleeing,False
2015-05-02,52.0,shot,M,W,DE,False,attack,Not fleeing,True
2015-05-03,36.0,shot,M,W,UT,True,attack,Not fleeing,True
2015-05-03,30.0,shot,M,B,TX,False,attack,Not fleeing,False
2015-05-03,34.0,shot,M,O,TX,False,attack,Not fleeing,False
2015-05-03,44.0,shot,M,H,NM,False,attack,Not fleeing,False
2015-05-03,53.0,shot,M,W,KY,False,attack,Not fleeing,False
2015-05-04,36.0,shot,M,W,WA,True,attack,Not fleeing,False
2015-05-05,29.0,shot,M,B,CA,False,attack,Not fleeing,True
2015-05-05,32.0,shot,M,A,CA,False,attack,Not fleeing,False
2015-05-05,46.0,shot,M,W,VA,True,attack,Not fleeing,False
2015-05-06,18.0,shot,M,W,NC,False,attack,Car,False
2015-05-07,72.0,shot,M,W,GA,True,other,Not fleeing,False
2015-05-07,38.0,shot,M,W,NY,False,other,Car,False
2015-05-07,21.0,shot,M,B,CA,False,attack,Car,False
2015-05-08,35.0,shot,M,W,AZ,False,attack,Not fleeing,False
2015-05-08,58.0,shot,M,W,NY,True,attack,Not fleeing,False
2015-05-08,48.0,shot,M,B,LA,False,attack,Not fleeing,False
2015-05-08,31.0,shot,M,B,MN,False,attack,Car,False
2015-05-10,47.0,shot,M,W,WA,False,attack,Not fleeing,False
2015-05-10,34.0,shot,M,B,MD,False,other,Car,False
2015-05-11,30.0,shot,M,B,TX,False,attack,Car,False
2015-05-11,28.0,shot,M,W,FL,True,other,Not fleeing,False
2015-05-12,28.0,shot,M,B,FL,False,other,Foot,False
2015-05-12,40.0,shot,M,W,CA,True,other,Not fleeing,False
2015-05-12,46.0,shot and Tasered,M,O,HI,False,attack,Not fleeing,False
2015-05-14,37.0,shot,M,W,MI,True,attack,Car,False
2015-05-14,53.0,shot,M,W,FL,True,attack,Not fleeing,False
2015-05-15,41.0,shot,M,W,IL,True,attack,Not fleeing,False
2015-05-15,42.0,shot,M,W,CA,True,attack,Not fleeing,False
2015-05-16,45.0,shot,M,B,IL,False,attack,Foot,False
2015-05-17,34.0,shot,M,W,CA,True,attack,Foot,True
2015-05-17,18.0,shot,M,W,FL,True,attack,Not fleeing,False
2015-05-17,27.0,shot,M,W,NM,False,other,Not fleeing,False
